,Date,Campaign Name,Ad Set,Ad,Spend,CPM,Impressions,Clicks,Add to Cart,Add Payment Info,Purchase
757,2024-04-24,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,30,24.24,1238,201,7,2,2
766,2024-04-25,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,46,25.76,1786,486,29,8,6
775,2024-04-26,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,35,26.99,1297,238,12,3,2
784,2024-04-27,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,40,24.01,1666,378,13,5,4
793,2024-04-28,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,48,26.41,1817,334,13,3,2
802,2024-04-29,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,40,26,1538,390,21,7,6
811,2024-04-30,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,30,24.09,1246,339,14,5,4
820,2024-05-01,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,38,26.05,1459,268,14,5,3
829,2024-05-02,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,50,26.84,1863,513,21,5,4
838,2024-05-03,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,35,25.3,1383,314,13,5,4
847,2024-05-04,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,39,26.21,1488,402,22,8,7
856,2024-05-05,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,38,26.25,1448,581,31,8,7
865,2024-05-06,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,44,24.84,1771,383,11,3,2
874,2024-05-07,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,37,24.28,1524,362,18,7,5
883,2024-05-08,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,37,26.14,1416,459,19,6,3
892,2024-05-09,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,46,24.36,1888,612,21,6,4
901,2024-05-10,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,39,24.43,1596,543,24,6,4
910,2024-05-11,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,47,26.3,1787,541,31,9,6
919,2024-05-12,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,37,26.53,1395,331,14,5,4
928,2024-05-13,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,35,25.74,1360,389,14,5,3
937,2024-05-14,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,41,26.07,1573,263,11,4,3
946,2024-05-15,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,44,24.18,1820,446,20,5,3
955,2024-05-16,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,36,24.33,1480,439,22,6,4
964,2024-05-17,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,44,25.29,1740,376,16,6,5
973,2024-05-18,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,188,25.19,7463,2962,104,34,21
982,2024-05-19,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,184,24.74,7437,2108,118,44,29
991,2024-05-20,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,181,25.78,7021,2389,115,32,24
1000,2024-05-21,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,50,24.19,2067,513,18,6,5
1009,2024-05-22,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,34,26.87,1265,212,10,4,3
1018,2024-05-23,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,48,25.54,1879,406,21,6,5
1027,2024-05-24,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,40,25.63,1561,447,14,5,4
1036,2024-05-25,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,36,24.8,1452,424,25,10,8
1045,2024-05-26,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,44,24.24,1815,529,16,4,3
1054,2024-05-27,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,34,24.46,1390,270,9,3,2
1063,2024-05-28,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,33,25.21,1309,269,9,3,3
1072,2024-05-29,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,42,25.66,1637,318,10,3,3
1081,2024-05-30,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,46,25.48,1806,688,21,6,5
1090,2024-05-31,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,31,25.08,1236,267,14,5,3
2,2024-04-01,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,86,6.87,12518,507,26,7,5
11,2024-04-02,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,79,6.46,12221,418,25,9,6
20,2024-04-03,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,74,6.67,11097,370,18,5,5
29,2024-04-04,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,76,6.16,12345,356,16,6,4
38,2024-04-05,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,82,6.74,12166,361,20,7,5
47,2024-04-06,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,95,5.81,16364,736,39,11,7
56,2024-04-07,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,92,5.31,17342,749,40,15,11
65,2024-04-08,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,88,5.73,15354,691,33,9,7
74,2024-04-09,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,63,5.51,11434,494,15,4,3
83,2024-04-10,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,97,6.39,15169,628,35,12,8
92,2024-04-11,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,85,6.73,12625,648,29,8,5
101,2024-04-12,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,97,5.37,18060,601,34,13,9
110,2024-04-13,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,79,6.76,11686,536,26,10,7
119,2024-04-14,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,86,5.76,14942,471,16,4,3
128,2024-04-15,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,67,5.25,12771,368,22,7,6
137,2024-04-16,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,91,6.13,14843,775,26,9,8
146,2024-04-17,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,81,5.12,15807,825,27,10,7
155,2024-04-18,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,64,5.24,12222,374,13,4,3
164,2024-04-19,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,99,6.65,14876,669,31,8,5
173,2024-04-20,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,79,6.77,11670,557,30,9,5
182,2024-04-21,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,83,5.6,14822,574,28,10,8
191,2024-04-22,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,94,6.32,14870,803,38,11,9
200,2024-04-23,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,88,6.61,13309,383,18,6,4
209,2024-04-24,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,92,6.3,14607,539,25,9,8
218,2024-04-25,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,87,5.28,16488,534,21,8,6
227,2024-04-26,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,90,5.82,15470,794,42,13,10
236,2024-04-27,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,66,5.41,12197,351,17,7,6
245,2024-04-28,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,93,5.98,15543,532,21,7,4
254,2024-04-29,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,97,6.15,15780,611,21,7,6
263,2024-04-30,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,63,6.64,9494,273,16,5,3
272,2024-05-01,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,83,5.04,16484,623,36,9,6
281,2024-05-02,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,76,6.65,11425,452,20,6,5
290,2024-05-03,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,71,6.91,10281,315,15,5,4
299,2024-05-04,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,70,6.14,11399,400,18,7,4
308,2024-05-05,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,90,6.5,13855,599,31,8,7
317,2024-05-06,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,97,6.39,15171,737,34,13,8
326,2024-05-07,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,68,5.9,11528,353,20,8,7
335,2024-05-08,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,89,6.3,14130,534,31,8,7
344,2024-05-09,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,77,5.75,13401,687,32,12,11
353,2024-05-10,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,63,6.01,10478,481,25,7,4
362,2024-05-11,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,73,5.63,12963,665,33,10,8
371,2024-05-12,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,69,5.08,13590,612,34,10,7
380,2024-05-13,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,95,6.7,14178,715,36,13,10
389,2024-05-14,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,99,5.82,17011,536,29,9,6
398,2024-05-15,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,62,5.5,11273,457,24,8,6
407,2024-05-16,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,64,6.84,9352,379,12,3,2
416,2024-05-17,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,83,6.15,13492,595,31,9,6
425,2024-05-18,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,156,9.62,16216,1722,88,34,23
434,2024-05-19,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,159,9.65,16476,1394,46,17,10
443,2024-05-20,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,154,10.72,14370,1267,60,15,13
452,2024-05-21,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,79,6.62,11942,559,30,8,7
461,2024-05-22,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,89,5.99,14863,401,15,6,5
470,2024-05-23,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,86,5.13,16766,483,28,10,7
479,2024-05-24,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,60,6.1,9830,478,23,7,4
488,2024-05-25,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,61,6.39,9550,413,17,5,3
497,2024-05-26,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,68,6.18,10999,544,25,9,7
506,2024-05-27,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,73,5.74,12726,424,25,6,5
515,2024-05-28,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,99,6.89,14375,543,24,7,5
524,2024-05-29,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,95,6.36,14949,780,30,9,6
533,2024-05-30,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,62,5.29,11717,506,23,6,5
542,2024-05-31,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,86,5.23,16431,739,27,11,6
551,2024-04-01,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,41,27,1519,398,12,4,3
560,2024-04-02,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,30,25.34,1184,180,9,4,3
569,2024-04-03,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,38,26.47,1436,225,8,3,2
578,2024-04-04,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,47,26.83,1752,459,23,7,6
587,2024-04-05,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,44,25.32,1738,417,13,4,3
596,2024-04-06,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,45,24.01,1874,517,23,6,5
605,2024-04-07,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,42,26.33,1595,396,19,7,5
614,2024-04-08,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,47,26.11,1800,464,26,9,5
623,2024-04-09,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,42,24.21,1735,287,9,3,2
632,2024-04-10,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,41,24.64,1664,407,18,6,5
641,2024-04-11,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,46,25.91,1775,457,21,8,7
650,2024-04-12,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,46,25.75,1786,271,11,4,2
659,2024-04-13,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,30,25.99,1154,319,16,4,3
668,2024-04-14,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,38,25.3,1502,415,24,7,5
677,2024-04-15,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,40,25.73,1554,403,23,6,5
686,2024-04-16,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,46,24.83,1853,435,18,7,5
695,2024-04-17,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,44,25.31,1739,328,12,4,2
704,2024-04-18,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,41,26.14,1568,353,15,6,4
713,2024-04-19,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,35,26.81,1306,300,11,4,3
722,2024-04-20,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,32,24.45,1309,289,13,5,4
731,2024-04-21,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,43,24.12,1783,254,13,4,3
740,2024-04-22,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,35,27,1297,292,14,5,4
749,2024-04-23,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,42,26.79,1568,426,25,10,7
758,2024-04-24,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,41,26.02,1576,377,16,4,3
767,2024-04-25,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,35,26.74,1309,264,13,5,4
776,2024-04-26,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,39,26.36,1480,272,11,3,2
785,2024-04-27,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,33,25.46,1296,215,12,5,4
794,2024-04-28,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,50,24.44,2046,508,23,7,6
803,2024-04-29,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,42,26.29,1597,220,11,4,3
812,2024-04-30,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,39,26.51,1471,381,21,6,4
821,2024-05-01,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,47,24.31,1934,400,20,8,5
830,2024-05-02,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,34,24.99,1361,257,8,3,2
839,2024-05-03,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,35,25.28,1385,338,13,3,3
848,2024-05-04,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,48,26.37,1820,268,14,4,3
857,2024-05-05,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,47,26.92,1746,285,12,4,3
866,2024-05-06,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,33,25.74,1282,318,12,4,3
875,2024-05-07,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,30,25.33,1184,321,10,3,2
884,2024-05-08,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,46,26.24,1753,266,9,3,2
893,2024-05-09,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,38,24.35,1561,330,14,5,4
902,2024-05-10,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,39,24.69,1579,243,12,5,3
911,2024-05-11,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,42,26.31,1596,308,13,5,3
920,2024-05-12,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,40,26.71,1498,317,19,5,4
929,2024-05-13,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,47,25.78,1823,394,14,4,3
938,2024-05-14,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,36,26.01,1384,350,13,4,3
947,2024-05-15,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,34,26.21,1297,237,9,3,2
956,2024-05-16,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,37,25.15,1471,406,19,6,4
965,2024-05-17,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,50,26.14,1913,475,22,6,5
974,2024-05-18,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,195,24.07,8103,2338,91,30,19
983,2024-05-19,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,188,24.62,7637,3165,161,60,42
992,2024-05-20,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,199,26.75,7439,2862,89,22,17
1001,2024-05-21,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,44,24.43,1801,464,21,6,5
1010,2024-05-22,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,33,25.17,1311,211,11,4,3
1019,2024-05-23,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,34,24.72,1375,373,19,5,5
1028,2024-05-24,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,44,26.01,1691,280,10,3,2
1037,2024-05-25,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,40,25.89,1545,230,11,3,2
1046,2024-05-26,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,37,25.17,1470,311,16,6,4
1055,2024-05-27,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,35,24.02,1457,322,13,5,3
1064,2024-05-28,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,47,24,1958,324,11,4,3
1073,2024-05-29,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,47,24.41,1925,292,12,4,3
1082,2024-05-30,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,33,25.24,1308,314,14,4,2
1091,2024-05-31,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - C,43,26.28,1636,452,19,5,3
3,2024-04-01,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,87,5.29,16439,708,35,12,9
12,2024-04-02,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,99,6.93,14287,885,28,10,7
21,2024-04-03,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,67,5.12,13089,646,35,13,9
30,2024-04-04,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,68,6.67,10190,332,10,3,2
39,2024-04-05,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,60,5.17,11611,536,19,6,5
48,2024-04-06,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,74,6.2,11931,426,18,5,3
57,2024-04-07,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,99,6.36,15574,965,29,9,6
66,2024-04-08,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,82,5.62,14578,719,41,13,10
75,2024-04-09,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,96,5.07,18937,875,39,13,9
84,2024-04-10,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,70,6.68,10480,429,15,6,4
93,2024-04-11,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,66,5.34,12349,726,30,8,6
102,2024-04-12,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,70,5.6,12502,525,22,8,5
111,2024-04-13,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,95,5.48,17332,801,25,6,5
120,2024-04-14,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,83,5.93,14004,647,21,5,4
129,2024-04-15,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,71,6.51,10913,435,18,7,6
138,2024-04-16,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,95,5.67,16745,862,29,8,5
147,2024-04-17,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,87,6.81,12766,764,30,12,7
156,2024-04-18,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,75,5.14,14581,505,30,10,7
165,2024-04-19,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,61,6.49,9402,563,22,8,5
174,2024-04-20,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,99,5.41,18313,923,51,16,12
183,2024-04-21,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,85,5.21,16320,771,39,14,10
192,2024-04-22,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,95,5.86,16201,783,23,8,5
201,2024-04-23,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,94,6.44,14591,705,33,11,8
210,2024-04-24,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,63,5.62,11206,482,27,8,5
219,2024-04-25,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,84,5.56,15098,904,36,10,7
228,2024-04-26,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,63,5.37,11741,542,26,10,8
237,2024-04-27,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,79,6.87,11495,664,20,7,5
246,2024-04-28,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,93,5.27,17636,796,27,8,5
255,2024-04-29,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,62,6.05,10255,366,21,6,5
264,2024-04-30,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,92,5.08,18104,627,25,7,5
273,2024-05-01,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,91,5.41,16833,530,31,10,8
282,2024-05-02,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,92,5.78,15927,769,28,7,6
291,2024-05-03,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,81,6.52,12421,639,33,10,9
300,2024-05-04,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,100,6.54,15301,546,29,8,6
309,2024-05-05,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,96,6.08,15793,696,26,7,5
318,2024-05-06,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,73,5.5,13283,474,18,6,5
327,2024-05-07,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,64,6.65,9620,535,30,9,7
336,2024-05-08,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,83,5.6,14832,670,34,12,8
345,2024-05-09,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,97,5.98,16211,715,21,8,5
354,2024-05-10,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,73,5.28,13828,595,26,7,5
363,2024-05-11,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,91,6.63,13734,779,27,8,7
372,2024-05-12,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,83,5.08,16334,1029,57,15,13
381,2024-05-13,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,70,6.38,10970,564,30,10,8
390,2024-05-14,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,87,6.2,14023,515,16,4,3
399,2024-05-15,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,72,5.73,12561,791,43,11,7
408,2024-05-16,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,96,6,15990,672,26,7,4
